Quote Number,Design Quotes,Order Number,OPT,COF,DS,CUST REF,ORGANIZER 1,ORGANIZER 2,SUB SYS ID,ORGANIZER 3,ORGANIZER 4,LIST ID,LIM,O,APC,Quantity,NOMENCLATURE,DESCRIPTION,UNIT LIST,EXT LIST,TOTAL QTY,EXT EXCHANGE RATE,EXT STAGING,EXT FIELD,EXT DROPSHIP,CUSTOMER DISCOUNT (%),UNIT CUSTOMER DISCOUNT,EXT CUSTOMER DISCOUNT,Unit Discount Price Currency,Unit Discount Price,Ext Discount Amount Currency,Ext Discount Amount,FAMILY GROUP,PRODUCT STATUS,PRODUCT STATUS REFRESH DATE,CFG,LOCATION,OPTIONAL,ORGANIZER 5,ORGANIZER 6,ORGANIZER 7,ORGANIZER 8,EID,PID,TERM,Currency,DESIGN QUOTE,REPORT RUN DATE,SORT ORDER,Country of Origin,Parametric Data
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,18,,0351,2,DSBA4041P,"OMNI, EXPOSED DIPOLE ARRAY, 3DBD, 136-174MHZ, PIM RATED",3243,6486,2,,0,0,6486,0,0,0,USD,3243,USD,5253.66,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-018-40,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,19,,0207,1,DS11011188,"PDU, 120/240 SPLIT PH OR N+1 REDUNDANT, 60A MAX PER PHASE, SIX DEDICAT",2407,2407,1,,0,0,2407,0,0,0,USD,2407,USD,1949.67,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-019-41,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,20,,0207,12,DS3750297,"BREAKER, 15 AMP, CB UL 489 LISTED FOR AC EDGE II (1101-1188)",43.4,520.8,12,,0,0,520.8,0,0,0,USD,43.4,USD,421.8,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-020-42,MX,
QUOTE-3114523,,3203756617,0,0,0,,,,,,,,21,,0509,1,TRN7343A,RACK 7.5',632.5,632.5,1,,0,0,0,0,0,0,USD,632.5,USD,632.5,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-021-43,MX,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,22,,0351,7,DSSHU78,"SH-U78, UNIVERSAL SNAP-IN HANGER FOR 7/8"" AIRCELL COAX, PKG OF 10",65,455,7,,0,0,455,0,0,0,USD,65,USD,368.55,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-022-45,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,23,,0351,1,DSNMA01250B,N MALE FOR 1/2 CABLE (USE WITH CT01250AIO-2),24.68,24.68,1,,0,0,24.68,0,0,0,USD,24.68,USD,19.99,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-023-46,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,24,,0351,2,DS43FA07850B,"4.3-10 FEMALE FOR 7/8"" CABLE, OPTIMIZED FOR PIM (USE WITH CT07850AIO-2",80.85,161.7,2,,0,0,161.7,0,0,0,USD,80.85,USD,130.98,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-024-47,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,25,,0351,200,DSAT078J50,"AT078J50, 7/8"" TRANSMISSION LINE,50OHM,BLACK POLYETHYLENE JCKT PER FT",4.17,834,200,,0,0,834,0,0,0,USD,4.17,USD,676,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-025-48,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,26,,0351,5,DSGKS78AC,"GK-S78AC, STD GROUND KIT FOR 7/8"" AIRCELL COAX",34.3,171.5,5,,0,0,171.5,0,0,0,USD,34.3,USD,138.9,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-026-49,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,27,,0351,1,DSHG78,"HG-78, LACE-UP GRIP FOR 7/8 COAX",47.08,47.08,1,,0,0,47.08,0,0,0,USD,47.08,USD,38.13,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-027-50,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,28,,0351,15,DSAT012J50,"AT012J50, 1/2"" TRANSMISSION LINE,50OHM,BLACK POLYETHYLENE JCKT PER FT",1.33,19.95,15,,0,0,19.95,0,0,0,USD,1.33,USD,16.2,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-028-51,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,29,,0351,2,DS43MA01250B,"4.3-10 MALE FOR 1/2"" CABLE, OPTIMIZED FOR PIM (USE WITH CT01250AIO-2)",60.65,121.3,2,,0,0,121.3,0,0,0,USD,60.65,USD,98.26,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-029-52,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,30,,0351,2,DSWKU,"WK-U, UNIVERSAL WEATHERPROOFING KIT",30.38,60.76,2,,0,0,60.76,0,0,0,USD,30.38,USD,49.22,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-030-53,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,31,,0351,15,DSAT012J50,"AT012J50, 1/2"" TRANSMISSION LINE,50OHM,BLACK POLYETHYLENE JCKT PER FT",1.33,19.95,15,,0,0,19.95,0,0,0,USD,1.33,USD,16.2,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-031-55,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,32,,0351,1,DS43MA01250B,"4.3-10 MALE FOR 1/2"" CABLE, OPTIMIZED FOR PIM (USE WITH CT01250AIO-2)",60.65,60.65,1,,0,0,60.65,0,0,0,USD,60.65,USD,49.13,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-032-56,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,33,,0351,15,DSAT012J50,"AT012J50, 1/2"" TRANSMISSION LINE,50OHM,BLACK POLYETHYLENE JCKT PER FT",1.33,19.95,15,,0,0,19.95,0,0,0,USD,1.33,USD,16.2,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-033-58,US,
QUOTE-3114523,,3203756617,0,0,1,,,,,,,,34,,0351,2,DS43MA01250B,"4.3-10 MALE FOR 1/2"" CABLE, OPTIMIZED FOR PIM (USE WITH CT01250AIO-2)",60.65,121.3,2,,0,0,121.3,0,0,0,USD,60.65,USD,98.26,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-034-59,US,
QUOTE-3114523,QUOTE-3076685,3203756617,0,0,1,,FIELD,,,,,,35,,0457,1,DQSPD2685,VHF 3CH RF DISTRIBUTION SYSTEM DOE WIPP,24358,24358,1,,0,24358,24358,0,0,0,USD,24358,USD,24358,Standalone Items,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-035-61,US,
